Account,date,daily_pnl,num_trades,avg_trade_size_usd,total_volume_usd,win_rate,long_short_ratio,avg_leverage,classification,cumulative_pnl,rolling_max_pnl,drawdown_proxy
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2025-05-03,0.0,1,3500.644444444444,31505.8,0.0,9000000.0,90.0711176538302,Unknown,20925.513222,20925.513222,0.0
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2025-08-04,0.0,2,2865.9021212121215,94574.77,0.0,33000000.0,76.57371638720792,Unknown,20925.513222,20925.513222,0.0
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2025-09-04,622.41079,2,792.1807692307691,10298.349999999999,0.46153846153846156,1.1666664722222546,2.8974587725101233,Unknown,21547.924012000003,21547.924012000003,0.0
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2025-10-04,5615.909695,1,2486.837368421053,47249.91,1.0,0.0,83.8893253017982,Unknown,27163.833707,27163.833707,0.0
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2025-11-03,0.0,1,6911.925,27647.7,0.0,4000000.0,78.69111987942594,Unknown,27163.833707,27163.833707,0.0
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2025-12-04,2513.430964,2,2262.842,101827.89,0.5333333333333333,0.8749999635416682,76.63801991321877,Unknown,29677.264671,29677.264671,0.0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2024-09-12,0.0,2,1968.8700000000001,7875.4800000000005,0.0,4000000.0,0.00010578228980298728,Fear,0.0,0.0,0.0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2024-11-12,39.7705,1,7158.62,7158.62,1.0,0.0,1.0099698028666326e-05,Greed,39.7705,39.7705,0.0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2024-12-12,15.24474,1,771.87,771.87,1.0,0.0,0.00025385899310362677,Greed,55.01524,55.01524,0.0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2025-03-04,2020.0,2,42527.5,340220.0,0.125,6.9999930000070005,0.0020562479307523838,Fear,2075.01524,2075.01524,0.0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2025-05-04,2400.0,2,41637.49875,333099.99,0.125,6.9999930000070005,0.0007578537704253693,Unknown,4475.015240000001,4475.015240000001,0.0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2025-07-04,0.0,1,2238.4694117647055,38053.979999999996,0.0,17000000.0,0.11120932295737146,Unknown,4475.015240000001,4475.015240000001,0.0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2025-11-04,5246.0,1,29785.714285714286,208500.0,1.0,0.0,0.0015187398577611152,Unknown,9721.01524,9721.01524,0.0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2025-12-04,0.0,3,1435.7078571428572,20099.91,0.0,14000000.0,0.018240270533778396,Unknown,9721.01524,9721.01524,0.0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-05-12,0.0,2,5556.203333333334,50005.83,0.0,3.499998250000875,0.0013108792740034673,Neutral,0.0,0.0,0.0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-01,-129.53146,6,14679.973888888888,264239.52999999997,0.05555555555555555,1.2499998437500197,0.3545534501567678,Greed,-129.53146,0.0,129.53146
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-02,0.0,6,334.69666666666666,2008.18,0.0,6000000.0,62.552042982539696,Greed,-129.53146,0.0,129.53146
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-07,3863.351096,19,5205.286274509804,265469.6,0.3333333333333333,0.08510638116794934,42.14525937288005,Greed,3733.8196359999997,3733.8196359999997,0.0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-01-08,0.0,3,3896.047777777778,35064.43,0.0,9000000.0,55.5609812654986,Greed,3733.8196359999997,3733.8196359999997,0.0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-02-01,783.979116,4,7138.1611764705885,121348.74,0.47058823529411764,1.1249998593750177,36.48965385693098,Greed,4517.798752,4517.798752,0.0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-02-02,456.423473,12,11292.343571428572,474278.43,0.30952380952380953,0.8260869206049165,8.407713104934281,Greed,4974.2222249999995,4974.2222249999995,0.0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-02-03,-1443.814567,2,420.5385714285714,2943.77,0.0,7000000.0,44.4504178945456,Greed,3530.407658,4974.2222249999995,1443.8145669999994
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-02-04,0.0,2,3749.9725,14999.89,0.0,4000000.0,0.16360002617130365,Greed,3530.407658,4974.2222249999995,1443.8145669999994
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-02-07,2421.253116,5,1852.6372222222224,33347.47,0.7222222222222222,2.599999480000104,41.079533863553785,Greed,5951.660774,5951.660774,0.0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-02-08,554.12049,3,5882.177500000001,70586.13,0.4166666666666667,1.399999720000056,8.335408924836733,Greed,6505.781264,6505.781264,0.0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-03-01,866.015507,14,5888.050149253731,394499.36,0.417910447761194,0.9142856881632662,1.4152522711792326,Greed,7371.796771,7371.796771,0.0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-03-02,223.30918699999998,14,10782.5,603820.0,0.10714285714285714,0.4736841980609422,0.03172764897822598,Greed,7595.105958,7595.105958,0.0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-03-04,0.0,1,4999.83,9999.66,0.0,2000000.0,25.096443640747438,Greed,7595.105958,7595.105958,0.0
